ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
119,18-22,ANL_Table_II_D0p436,0.436,18.0,1.47,97.0,0.8,-7.5,,MATCH_EXACT,637.09,-0.015,J
120,18-23,ANL_Table_II_D0p436,0.436,18.0,1.44,68.5,0.709,12.5,,MATCH_EXACT,630.09,0.028,J
121,18-24,ANL_Table_II_D0p436,0.436,18.0,1.4,37.5,0.583,31.0,,MATCH_EXACT,627.09,0.067,J
122,18-25,ANL_Table_II_D0p436,0.436,18.0,1.33,25.0,0.536,41.0,,MATCH_EXACT,625.09,0.09,J
123,18-36,ANL_Table_II_D0p436,0.436,18.0,1.48,246.0,1.32,-99.5,,MATCH_EXACT,639.09,-0.213,J
124,18-37,ANL_Table_II_D0p436,0.436,18.0,1.52,195.0,1.19,-65.5,,MATCH_EXACT,647.09,-0.142,J
125,18-38,ANL_Table_II_D0p436,0.436,18.0,1.5,162.0,1.085,-42.5,,MATCH_EXACT,641.09,-0.092,J
126,18-39,ANL_Table_II_D0p436,0.436,18.0,1.5,160.0,1.075,-41.5,,MATCH_EXACT,642.09,-0.09,J
127,18-40,ANL_Table_II_D0p436,0.436,18.0,1.5,145.0,0.997,-35.5,,MATCH_EXACT,643.09,-0.076,J
128,18-41,ANL_Table_II_D0p436,0.436,18.0,1.49,118.0,0.897,-18.5,,MATCH_EXACT,640.09,-0.04,J
129,18-42,ANL_Table_II_D0p436,0.436,18.0,1.51,91.5,0.804,-4.5,,MATCH_EXACT,645.09,-0.008,J
130,18-43,ANL_Table_II_D0p436,0.436,18.0,1.51,62.5,0.705,14.5,,MATCH_EXACT,646.09,0.032,J
131,18-44,ANL_Table_II_D0p436,0.436,18.0,1.44,40.5,0.595,27.5,,MATCH_EXACT,631.09,0.06,J
132,18-45,ANL_Table_II_D0p436,0.436,18.0,1.3,10.0,0.499,53.0,,MATCH_EXACT,624.09,0.115,J
133,18-9,ANL_Table_II_D0p436,0.436,18.0,0.991,353.0,1.24,-147.5,,MATCH_EXACT,610.09,-0.316,J
134,18-10,ANL_Table_II_D0p436,0.436,18.0,0.978,303.0,1.14,-111.5,,MATCH_EXACT,607.09,-0.238,J
135,18-11,ANL_Table_II_D0p436,0.436,18.0,0.995,256.0,1.03,-85.0,,MATCH_EXACT,615.09,-0.184,J
136,18-12,ANL_Table_II_D0p436,0.436,18.0,1.0,207.0,0.937,-54.0,,MATCH_EXACT,616.09,-0.113,J
137,18-13,ANL_Table_II_D0p436,0.436,18.0,0.992,170.0,0.837,-31.5,,MATCH_EXACT,614.09,-0.066,J
138,18-14,ANL_Table_II_D0p436,0.436,18.0,0.99,127.0,0.734,-4.5,,MATCH_EXACT,609.09,-0.01,J
139,18-15,ANL_Table_II_D0p436,0.436,18.0,0.991,87.5,0.638,18.5,,MATCH_EXACT,611.09,0.041,J
140,18-16,ANL_Table_II_D0p436,0.436,18.0,0.991,39.0,0.522,47.5,,MATCH_EXACT,612.09,0.104,J
141,18-17,ANL_Table_II_D0p436,0.436,18.0,0.885,8.5,0.443,73.5,,MATCH_EXACT,606.09,0.16,J
142,18-26,ANL_Table_II_D0p436,0.436,18.0,0.991,361.0,1.3,-146.0,,MATCH_EXACT,613.09,-0.312,J
143,18-27,ANL_Table_II_D0p436,0.436,18.0,0.98,305.0,1.165,-109.5,,MATCH_EXACT,608.09,-0.235,J
144,18-28,ANL_Table_II_D0p436,0.436,18.0,1.01,292.0,1.1,-111.5,,MATCH_EXACT,619.09,-0.242,J
145,18-29,ANL_Table_II_D0p436,0.436,18.0,1.0,246.0,1.01,-79.5,,MATCH_EXACT,617.09,-0.171,J
146,18-30,ANL_Table_II_D0p436,0.436,18.0,1.0,202.0,0.897,-54.5,,MATCH_EXACT,618.09,-0.116,J
147,18-31,ANL_Table_II_D0p436,0.436,18.0,1.01,160.0,0.794,-30.0,,MATCH_EXACT,620.09,-0.065,J
148,18-32,ANL_Table_II_D0p436,0.436,18.0,1.04,117.0,0.699,-6.5,,MATCH_EXACT,623.09,-0.013,J
149,18-33,ANL_Table_II_D0p436,0.436,18.0,1.03,73.0,0.586,21.0,,MATCH_EXACT,622.09,0.045,J
150,18-34,ANL_Table_II_D0p436,0.436,18.0,1.01,37.5,0.505,45.0,,MATCH_EXACT,621.09,0.097,J
151,18-35,ANL_Table_II_D0p436,0.436,18.0,0.795,6.5,0.405,77.0,,MATCH_EXACT,605.09,0.168,J
152,18-46,ANL_Table_II_D0p436,0.436,18.0,0.514,524.0,1.22,-134.0,,MATCH_EXACT,604.09,-0.285,J
153,18-47,ANL_Table_II_D0p436,0.436,18.0,0.506,446.0,1.1,-90.0,,MATCH_EXACT,594.09,-0.188,J
154,18-48,ANL_Table_II_D0p436,0.436,18.0,0.496,362.0,1.02,-25.0,,MATCH_EXACT,585.09,-0.048,J
155,18-49,ANL_Table_II_D0p436,0.436,18.0,0.506,320.0,0.914,-24.0,,MATCH_EXACT,595.09,-0.047,J
156,18-50,ANL_Table_II_D0p436,0.436,18.0,0.502,296.0,0.885,-6.0,,MATCH_EXACT,591.09,-0.011,J
157,18-51,ANL_Table_II_D0p436,0.436,18.0,0.505,260.0,0.79,-3.0,,MATCH_EXACT,593.09,-0.004,J
