ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment
192.01,0.187,12.5,2.03,57.3,0.845,0.117,,none,source01,66.84491978609626,2752.3104351127427,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
193.01,0.187,12.5,2.11,123.7,1.17,0.053,,none,source01,66.84491978609626,2860.7758709792547,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
194.01,0.187,12.5,2.11,89.0,0.992,0.079,,none,source01,66.84491978609626,2860.7758709792547,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
195.01,0.187,12.5,2.11,90.3,1.03,0.087,,none,source01,66.84491978609626,2860.7758709792547,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
211.01,0.187,12.5,2.73,17.8,0.795,0.13,,none,source01,66.84491978609626,3701.382998944723,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
212.01,0.187,12.5,2.78,20.3,0.836,0.13,,none,source01,66.84491978609626,3769.173896361293,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
214.01,0.187,12.5,2.88,57.3,1.06,0.089,,none,source01,66.84491978609626,3904.755691194433,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
215.01,0.187,12.5,2.93,57.3,0.992,0.072,,none,source01,66.84491978609626,3972.5465886110037,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
217.01,0.187,12.5,3.17,91.6,1.365,0.051,,none,source01,66.84491978609626,4297.942896210539,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
223.01,0.187,12.5,3.62,18.6,0.956,0.112,,none,source01,66.84491978609626,4908.06097295967,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
226.01,0.187,12.5,3.66,21.8,0.89,0.093,,none,source01,66.84491978609626,4962.293690892926,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
227.01,0.187,12.5,3.66,17.8,0.904,0.104,,none,source01,66.84491978609626,4962.293690892926,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
229.01,0.187,12.5,3.87,55.8,1.3,0.073,,none,source01,66.84491978609626,5247.015460042519,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
231.01,0.187,12.5,3.97,55.0,1.19,0.054,,none,source01,66.84491978609626,5382.59725487566,0.05<x<=0.15,G>4200,3.0<G<=4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
239.01,0.187,12.5,4.53,16.6,0.952,0.085,,none,source01,66.84491978609626,6141.855305941244,0.05<x<=0.15,G>4200,G>4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
