dataset,y,x,model,N,R2,RMSE,coef
old86_F1_all,PM,Tsub,poly3,86,0.4491052136347623,0.07545560829711487,9.9026998e-08;-3.8663898e-05;0.0048629791;0.84999068
old86_F1_all,PM,Tsub,log(PM) linear -> exp,86,0.3443562520616733,0.08231730728043019,0.0012229189;-0.094530932
old86_F1_all,PM,Tsub,sat_exp_grid,86,0.4316856501718789,0.07663929560641927,a=0.87097923;b=0.19300056;k=0.028660479;xmin=5.8532518
old86_F1_all,PM,x,poly1,86,0.38540037638474,0.07969908555257042,-0.56381425;0.983083
old86_F1_all,PM,x,poly2,86,0.4896054831124197,0.07262902156770487,-1.6508664;-0.86584978;1.0024094
old86_F1_all,PM,x,poly3,86,0.6254340728130381,0.06221875660826267,-12.771557;-6.5421606;-0.78094486;1.0341758
old86_F1_all,PM,x,log(PM) linear -> exp,86,0.3593062319226611,0.08137339642915827,-0.583392;-0.022618379
old86_F1_all,PM,x,sat_exp_grid,86,0.38359913928134615,0.07981578910721172,a=1.241766;b=-11.344554;k=0.050505051;xmin=-0.457
old86_F1_all,PM,G_kg_m2s,poly1,86,0.03826988773800577,0.09969739266560797,-4.6495342e-05;1.1401936
old86_F1_all,PM,G_kg_m2s,poly2,86,0.03839972659943702,0.09969066258992784,-6.4648254e-09;-3.6316141e-06;1.070327
old86_F1_all,PM,G_kg_m2s,poly3,86,0.053539566637626046,0.09890276312396884,-1.5123023e-10;1.5021094e-06;-0.0049655531;6.4491976
old86_F1_all,PM,G_kg_m2s,log(PM) linear -> exp,86,0.035529203951360055,0.09983934758403426,-4.9605217e-05;0.14491697
old86_F1_all,PM,G_kg_m2s,sat_exp_grid,86,0.07415305175119102,0.09781980509516641,a=1.1842107;b=-0.20294822;k=0.016415728;xmin=2440.8
old86_F1_x<=0.05,PM,Tsub,poly1,47,0.04478354424879094,0.0694277629075244,0.00035472278;1.0121496
old86_F1_x<=0.05,PM,Tsub,poly2,47,0.09218214311046713,0.06768331702845194,5.3186097e-06;-0.00098436906;1.0826196
old86_F1_x<=0.05,PM,Tsub,poly3,47,0.09762270391919103,0.06748019887656123,2.7745955e-08;-5.8386544e-06;0.00030291783;1.040093
old86_F1_x<=0.05,PM,Tsub,log(PM) linear -> exp,47,0.04477729341586323,0.06942799007102954,0.00033256956;0.010960672
old86_F1_x<=0.05,PM,Tsub,sat_exp_grid,47,0.0443479961182589,0.06944358952248998,a=1.0241234;b=2.5887718;k=0.00013809504;xmin=33.8484
old86_F1_x<=0.05,PM,x,poly1,47,0.05941102929840936,0.06889412915646743,-0.16949703;1.0333765
old86_F1_x<=0.05,PM,x,poly2,47,0.10718904176966049,0.06712155820979807,1.0569057;0.19280102;1.0443644
old86_F1_x<=0.05,PM,x,poly3,47,0.1097319637527282,0.06702590156784603,-1.615968;0.15723922;0.090911817;1.0434091
old86_F1_x<=0.05,PM,x,log(PM) linear -> exp,47,0.059638881579387126,0.06888578404731405,-0.16070195;0.030720548
old86_F1_x<=0.05,PM,x,sat_exp_grid,47,0.10075737193296508,0.06736289093753488,a=1.183292;b=-0.14708705;k=8.7304768;xmin=-0.457
old86_F1_x<=0.05,PM,G_kg_m2s,poly1,47,0.006830229401573518,0.07079360365736341,1.4738932e-05;0.99937105
old86_F1_x<=0.05,PM,G_kg_m2s,poly2,47,0.15138514221198995,0.06543914095525924,1.5858127e-07;-0.0010139459;2.6423023
old86_F1_x<=0.05,PM,G_kg_m2s,poly3,47,0.1751189405728576,0.0645175607973621,-1.3008914e-10;1.4235359e-06;-0.0050694531;6.928432
old86_F1_x<=0.05,PM,G_kg_m2s,log(PM) linear -> exp,47,0.005835297976859111,0.0708290543687791,1.3093268e-05;0.0013117988
old86_F1_x<=0.05,PM,G_kg_m2s,sat_exp_grid,47,0.12443277632450445,0.06647020554691689,a=1.1785449;b=-0.13716597;k=0.016415728;xmin=2440.8
old86_F1_x>0.05,PM,Tsub,poly1,39,0.05434991895519714,0.0801693971317308,0.0020642732;0.87710828
old86_F1_x>0.05,PM,Tsub,poly2,39,0.07045348689866004,0.07948385981746235,-8.5491337e-05;0.0058604658;0.84474163
old86_F1_x>0.05,PM,Tsub,poly3,39,0.09560972936380185,0.078400950240863,9.7451636e-06;-0.00082308426;0.02140382;0.75784457
old86_F1_x>0.05,PM,Tsub,log(PM) linear -> exp,39,0.050037301328258676,0.08035199462388895,0.002581498;-0.13999057
old86_F1_x>0.05,PM,Tsub,sat_exp_grid,39,0.1177602874825584,0.07743489024806549,a=0.82984718;b=0.10020449;k=0.40118636;xmin=5.8532518
old86_F1_x>0.05,PM,x,poly1,39,0.7632177602870768,0.040116030034892045,-3.7556085;1.2312144
old86_F1_x>0.05,PM,x,poly2,39,0.7652543917113488,0.03994313275227483,-7.3876754;-2.3622437;1.1688748
old86_F1_x>0.05,PM,x,poly3,39,0.7845694112672417,0.03826459048935348,1028.6646;-293.75971;23.0281;0.44979938
old86_F1_x>0.05,PM,x,log(PM) linear -> exp,39,0.7556287024460113,0.04075383502940223,-4.3128677;0.27023177
old86_F1_x>0.05,PM,x,sat_exp_grid,39,0.7628328633129524,0.04014862172951736,a=1.0367772;b=-10.797861;k=0.35294118;xmin=0.052
old86_F1_x>0.05,PM,G_kg_m2s,poly1,39,0.013413884190575653,0.08188623160060511,-2.2424027e-05;0.98951649
old86_F1_x>0.05,PM,G_kg_m2s,poly2,39,0.0524111336727201,0.08025153727273042,-9.667427e-08;0.00063098867;-0.096520834
old86_F1_x>0.05,PM,G_kg_m2s,poly3,39,0.23904082432091112,0.07191575840356358,9.2445336e-10;-9.6109619e-06;0.03294622;-36.287288
old86_F1_x>0.05,PM,G_kg_m2s,log(PM) linear -> exp,39,0.011067383057551616,0.08198355306980898,-2.4033719e-05;-0.013260417
old86_F1_x>0.05,PM,G_kg_m2s,sat_exp_grid,39,0.02095738957704074,0.0815725770108805,a=0.87584039;b=0.041121457;k=0.022808138;xmin=2752.68
