original_target_row,result_row_in_all_rev,No_TableNo,TableNo,ExptNo,Status,exclude_reason,P_Pa_input,P_MPa,G,DH_m,L_DNB_m_input,Tin_K,q_M_Wm2_input,q_M_MWm2_input,F_form_input,x_Mes_input,L_m_input,L_DNB_over_DH_input,L_over_DH_input,q_in_Wm2,q_in_MWm2,q_P_Wm2,q_P_MWm2,q_M_Wm2_result,q_M_MWm2_result,PM_noF1,dq_ratio_pct_result,Tsub_K,Tsub2,Fcorr,F_form_result,x_Mes_result,log_q_low,log_q_high,log_q_in,log_q_P,log_PM_ratio,log_dq_ratio_pct,log_message
236,236,19.01_9,9,19.01,OK,,12065825.263044,12.065825263044,4041.5654,0.001905,0.1524,529.3025585969181,4653020.25,4.65302025,1,-0.009,0.1524,80.0,80.0,4513291.931152344,4.513291931152343,4490273.868195987,4.490273868195987,4653020.25,4.65302025,0.9650234959102074,-0.5100060733381238,68.86519981530796,68.86519981530796,1,1,-0.009,4513110.3515625,4513473.5107421875,4513291.931152344,4490273.868195987,0.9650234959102074,-0.5100060733381238,
237,237,2.01_9,9,2.01,OK,,12065825.263044,12.065825263044,2359.8402,0.001905,0.1524,505.3283912433004,3438503.1,3.4385031,1,-0.021,0.1524,80.0,80.0,4029631.996154785,4.0296319961547855,4066100.619355722,4.066100619355722,3438503.1,3.4385031,1.1825205623213548,0.9050112574978642,92.8393671689256,92.8393671689256,1,1,-0.021,4029609.2987060547,4029654.6936035156,4029631.996154785,4066100.619355722,1.1825205623213548,0.9050112574978643,
238,238,20.01_9,9,20.01,OK,,12065825.263044,12.065825263044,4041.5654,0.001905,0.1524,525.9164084059506,5173527.599999999,5.173527599999999,1,0.012,0.1524,80.0,80.0,4798553.466796875,4.798553466796875,4834347.453818527,4.834347453818527,5173527.599999999,5.173527599999999,0.9344392893194439,0.7459328580857767,72.2513500062754,72.2513500062754,1,1,0.012,4797827.1484375,4799279.78515625,4798553.466796875,4834347.453818527,0.9344392893194439,0.7459328580857767,
239,239,21.01_9,9,21.01,OK,,12065825.263044,12.065825263044,4082.2523,0.001905,0.1524,526.4501263441665,4700339.1,4.7003391,1,-0.02,0.1524,80.0,80.0,4794604.110717773,4.794604110717773,4806686.957196867,4.806686957196867,4700339.1,4.7003391,1.0226255712480121,0.25200926291461423,71.71763206805952,71.71763206805952,1,1,-0.02,4794558.7158203125,4794649.505615234,4794604.110717773,4806686.957196867,1.0226255712480121,0.25200926291461423,
240,240,22.01_9,9,22.01,OK,,12065825.263044,12.065825263044,2325.93445,0.001905,0.6959599999999999,298.7377064748906,2104111.53,2.10411153,1,-0.045,0.6959599999999999,365.33333333333326,365.33333333333326,3100858.0684661865,3.1008580684661866,3126896.201634061,3.126896201634061,2104111.53,2.10411153,1.486088620803319,0.8397073517380974,299.4300519373354,299.4300519373354,1,1,-0.045,3100852.394104004,3100863.742828369,3100858.0684661865,3126896.201634061,1.486088620803319,0.8397073517380974,
241,241,23.01_9,9,23.01,OK,,12065825.263044,12.065825263044,2454.7763,0.001905,0.6959599999999999,297.6164255805921,2160894.15,2.16089415,1,-0.079,0.6959599999999999,365.33333333333326,365.33333333333326,3280026.054382324,3.2800260543823243,3307112.9994115843,3.307112999411584,2160894.15,2.16089415,1.530437295788683,0.8258149350085264,300.55133283163394,300.55133283163394,1,1,-0.079,3280003.3569335938,3280048.7518310547,3280026.054382324,3307112.9994115843,1.530437295788683,0.8258149350085264,
242,242,24.01_9,9,24.01,OK,,12065825.263044,12.065825263044,2739.5846,0.001905,0.6959599999999999,300.419636479446,2460580.2,2.4605802000000003,1,-0.047,0.6959599999999999,365.33333333333326,365.33333333333326,3612373.447418213,3.612373447418213,3636159.4668507404,3.63615946685074,2460580.2,2.4605802000000003,1.4777650681130978,0.6584595911457466,297.74812193278,297.74812193278,1,1,-0.047,3612362.0986938477,3612384.796142578,3612373.447418213,3636159.4668507404,1.4777650681130978,0.6584595911457467,
243,243,25.01_9,9,25.01,OK,,12065825.263044,12.065825263044,2834.5207,0.001905,0.6959599999999999,297.6164255805921,2548908.72,2.54890872,1,-0.056,0.6959599999999999,365.33333333333326,365.33333333333326,3770580.3394317627,3.7705803394317625,3746873.0157074323,3.746873015707432,2548908.72,2.54890872,1.4699910539391274,-0.6287446915374084,300.55133283163394,300.55133283163394,1,1,-0.056,3770574.66506958,3770586.0137939453,3770580.3394317627,3746873.0157074323,1.4699910539391274,-0.6287446915374084,
244,244,26.01_9,9,26.01,OK,,12065825.263044,12.065825263044,3295.6389,0.001905,0.6959599999999999,297.1118526753824,3006324.27,3.00632427,1,-0.042,0.6959599999999999,365.33333333333326,365.33333333333326,4371007.299423218,4.371007299423217,4388149.927195646,4.388149927195646,3006324.27,3.00632427,1.4596395907736346,0.3921894107724362,301.0559057368436,301.0559057368436,1,1,-0.042,4371001.625061035,4371012.9737854,4371007.299423218,4388149.927195646,1.4596395907736346,0.39218941077243624,
245,245,27.01_9,9,27.01,OK,,12065825.263044,12.065825263044,3471.9488,0.001905,0.6959599999999999,294.3087422203108,3091498.2,3.0914982,1,-0.078,0.6959599999999999,365.33333333333326,365.33333333333326,4642587.947845459,4.642587947845459,4633628.270144674,4.633628270144674,3091498.2,3.0914982,1.4988293605167469,-0.19298886313921124,303.8590161919152,303.8590161919152,1,1,-0.078,4642576.599121094,4642599.296569824,4642587.947845459,4633628.270144674,1.4988293605167469,-0.19298886313921124,
