No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
378.09_10_source09,13789520,,,,,,,,,,,378.09,2033.7269224971003,,,0.0077215999999999995,0.4572,2728720.9987500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728720.9987500003,,1,0.025,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,378.09,none,290.75,59.21052631578947,1900<=G<=4200,0<x<=0.05
381.09_10_source09,13789520,,,,,,,,,,,381.09,2562.4959223463466,,,0.0077215999999999995,0.4572,5362804.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5362804.275,,1,-0.186,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,381.09,none,695.474,59.21052631578947,1900<=G<=4200,-0.20<x<=-0.10
383.09_10_source09,13789520,,,,,,,,,,,383.09,2589.6122813129746,,,0.0077215999999999995,0.4572,2697175.09125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697175.09125,,1,0.032,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,383.09,none,211.666,59.21052631578947,1900<=G<=4200,0<x<=0.05
384.09_10_source09,13789520,,,,,,,,,,,384.09,2603.170460796289,,,0.0077215999999999995,0.4572,2728720.9987500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728720.9987500003,,1,0.023,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,384.09,none,223.296,59.21052631578947,1900<=G<=4200,0<x<=0.05
385.09_10_source09,13789520,,,,,,,,,,,385.09,2616.7286402796026,,,0.0077215999999999995,0.4572,4479518.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479518.865,,1,-0.105,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,385.09,none,518.698,59.21052631578947,1900<=G<=4200,-0.20<x<=-0.10
387.09_10_source09,13789520,,,,,,,,,,,387.09,2643.8449992462306,,,0.0077215999999999995,0.4572,3138817.79625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3138817.79625,,1,0.006,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,387.09,none,274.468,59.21052631578947,1900<=G<=4200,0<x<=0.05
388.09_10_source09,13789520,,,,,,,,,,,388.09,2643.8449992462306,,,0.0077215999999999995,0.4572,5268166.5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268166.5525,,1,-0.175,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,388.09,none,660.5840000000001,59.21052631578947,1900<=G<=4200,-0.20<x<=-0.10
389.09_10_source09,13789520,,,,,,,,,,,389.09,2643.8449992462306,,,0.0077215999999999995,0.4572,4542610.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4542610.68,,1,-0.099,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,389.09,none,514.046,59.21052631578947,1900<=G<=4200,-0.10<x<=0
390.09_10_source09,13789520,,,,,,,,,,,390.09,2657.403178729545,,,0.0077215999999999995,0.4572,3154590.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154590.75,,1,0.004,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,390.09,none,276.794,59.21052631578947,1900<=G<=4200,0<x<=0.05
392.09_10_source09,13789520,,,,,,,,,,,392.09,2670.9613582128586,,,0.0077215999999999995,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.039,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,392.09,none,360.53000000000003,59.21052631578947,1900<=G<=4200,-0.10<x<=0
393.09_10_source09,13789520,,,,,,,,,,,393.09,2684.519537696173,,,0.0077215999999999995,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.04,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,393.09,none,360.53000000000003,59.21052631578947,1900<=G<=4200,-0.10<x<=0
394.09_10_source09,13789520,,,,,,,,,,,394.09,2698.0777171794866,,,0.0077215999999999995,0.4572,3880146.6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880146.6225,,1,-0.051,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,394.09,none,395.42,59.21052631578947,1900<=G<=4200,-0.10<x<=0
395.09_10_source09,13789520,,,,,,,,,,,395.09,2711.635896662801,,,0.0077215999999999995,0.4572,4069422.0675000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069422.0675000004,,1,-0.067,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,395.09,none,427.98400000000004,59.21052631578947,1900<=G<=4200,-0.10<x<=0
572.09_10_source09,13789520,,,,,,,,,,,572.09,345.7335768245071,,,0.0110744,0.4572,2526827.19075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526827.19075,,1,0.019,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,572.09,J,1186.26,41.28440366972477,G<1900,0<x<=0.05
575.09_10_source09,13789520,,,,,,,,,,,575.09,349.8010306695013,,,0.0110744,0.4572,2776039.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776039.86,,1,-0.081,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,575.09,J,1397.926,41.28440366972477,G<1900,-0.10<x<=0
