row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
45,T10_135.01,10,135.01,135.01_10,13789514.586336,2793.8338,0.004724399999999999,0.30479999999999996,0.30479999999999996,534.8366945514932,4126203.7199999993,-0.037,4126203.7199999993,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,420.54080000000005,608.6241187356576,1562.6001257440564,1142.0593257440564,73.78742418416437,1,True,4.724399999999999,304.79999999999995,4.1262037199999995
46,T10_136.01,10,136.01,136.01_10,13789514.586336,2793.8338,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,4189295.52,-0.039,4189295.52,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,4.18929552
47,T10_137.01,10,137.01,137.01_10,13789514.586336,2797.9024900000004,0.004724399999999999,0.30479999999999996,0.30479999999999996,531.5241795946998,4312324.529999999,-0.036,4312324.529999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,436.5902,608.6241187356576,1562.6001257440564,1126.0099257440565,77.09993914095776,1,True,4.724399999999999,304.79999999999995,4.31232453
48,T10_138.01,10,138.01,138.01_10,13789514.586336,2797.9024900000004,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,4258696.5,-0.033,4258696.5,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,4.2586965
49,T10_139.01,10,139.01,139.01_10,13789514.586336,2820.9584,0.004724399999999999,0.30479999999999996,0.30479999999999996,532.0538974663252,4283933.22,-0.039,4283933.22,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,434.0316,608.6241187356576,1562.6001257440564,1128.5685257440564,76.57022126933236,1,True,4.724399999999999,304.79999999999995,4.28393322
50,T10_14.01,10,14.01,14.01_10,13789514.586336,3119.3289999999997,0.0019049999999999998,0.15239999999999998,0.15239999999999998,492.54485489158424,5520532.5,-0.048,5520532.5,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,618.2508,608.6241187356576,1562.6001257440564,944.3493257440564,116.07926384407335,1,True,1.9049999999999998,152.39999999999998,5.5205325
51,T10_140.01,10,140.01,140.01_10,13789514.586336,2834.5207,0.004724399999999999,0.30479999999999996,0.30479999999999996,530.9456081229885,4290242.4,-0.045,4290242.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,439.38140000000004,608.6241187356576,1562.6001257440564,1123.2187257440564,77.67851061266913,1,True,4.724399999999999,304.79999999999995,4.2902424
52,T10_141.01,10,141.01,141.01_10,13789514.586336,3417.6996,0.004724399999999999,0.30479999999999996,0.30479999999999996,479.80174976923314,6214542.3,-0.191,6214542.3,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,675.4703999999999,608.6241187356576,1562.6001257440564,887.1297257440565,128.82236896642445,1,True,4.724399999999999,304.79999999999995,6.2145423
53,T10_142.01,10,142.01,142.01_10,13789514.586336,3451.60535,0.004724399999999999,0.30479999999999996,0.30479999999999996,535.4102604718073,4731885.0,-0.059,4731885.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,417.7496,608.6241187356576,1562.6001257440564,1144.8505257440565,73.21385826385028,1,True,4.724399999999999,304.79999999999995,4.731885
54,T10_144.01,10,144.01,144.01_10,13789514.586336,4068.69,0.004724399999999999,0.30479999999999996,0.30479999999999996,537.6968714991233,5015798.1,-0.082,5015798.1,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,406.58480000000003,608.6241187356576,1562.6001257440564,1156.0153257440563,70.9272472365343,1,True,4.724399999999999,304.79999999999995,5.0157981
55,T10_145.01,10,145.01,145.01_10,13789514.586336,4109.3769,0.004724399999999999,0.30479999999999996,0.30479999999999996,480.32335237154734,7255556.999999999,-0.202,7255556.999999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,673.1444,608.6241187356576,1562.6001257440564,889.4557257440564,128.30076636411025,1,True,4.724399999999999,304.79999999999995,7.255556999999999
56,T10_146.01,10,146.01,146.01_10,13789514.586336,4163.6260999999995,0.004724399999999999,0.30479999999999996,0.30479999999999996,587.1964312998762,3059952.2999999993,0.043,3059952.2999999993,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,142.8164,608.6241187356576,1562.6001257440564,1419.7837257440565,21.427687435781422,1,True,4.724399999999999,304.79999999999995,3.0599522999999995
57,T10_147.01,10,147.01,147.01_10,13789514.586336,4773.9296,0.004724399999999999,0.30479999999999996,0.30479999999999996,539.3563394457917,5867537.399999999,-0.075,5867537.399999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,398.4438,608.6241187356576,1562.6001257440564,1164.1563257440564,69.26777928986587,1,True,4.724399999999999,304.79999999999995,5.8675374
58,T10_148.01,10,148.01,148.01_10,13789514.586336,4773.9296,0.004724399999999999,0.30479999999999996,0.30479999999999996,589.9230674766882,3227145.5699999994,0.045,3227145.5699999994,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,126.3018,608.6241187356576,1562.6001257440564,1436.2983257440565,18.701051258969414,1,True,4.724399999999999,304.79999999999995,3.2271455699999994
